1,TASK,NEW,имяЗадачи1,описаниеЗадачи1,
2,TASK,NEW,имяЗадачи2,описаниеЗадачи2,,2024.08.09 17:12,30
3,TASK,NEW,имяЗадачи3,описаниеЗадачи3,,2024.08.09 17:43,29
4,EPIC,IN_PROGRESS,имяЭпика1,описаниеЭпика1,st7st8st9,2024.08.09 18:13,69
5,EPIC,NEW,имяЭпика2,описаниеЭпика2,st10,2024.08.09 21:12,60
6,EPIC,NEW,имяЭпика3,описаниеЭпика3,st0
11,EPIC,NEW,ТЕСТИМ222,ТЕСТИМ222,st0
7,SUBTASK,NEW,имяПодзадачи1Эпика1,описаниеПодзадачи1Эпика1,4
8,SUBTASK,DONE,newИмяПодзадачи2Эпика1,newОписаниеПодзадачи2Эпика1,4,2024.08.09 18:13,9
9,SUBTASK,NEW,имяПодзадачи3Эпика1,описаниеПодзадачи1Эпика2,4,2024.08.09 18:23,59
10,SUBTASK,NEW,имяПодзадачи1Эпика2,описаниеПодзадачи1Эпика2,5,2024.08.09 21:12,60

2,TASK,NEW,имяЗадачи2,описаниеЗадачи2,,2024.08.09 17:12,30
5,EPIC,NEW,имяЭпика2,описаниеЭпика2,st10,2024.08.09 21:12,60
9,SUBTASK,NEW,имяПодзадачи3Эпика1,описаниеПодзадачи1Эпика2,4,2024.08.09 18:23,59
8,SUBTASK,NEW,имяПодзадачи2Эпика1,описаниеПодзадачи2Эпика1,4,2024.08.09 18:13,9
7,SUBTASK,NEW,имяПодзадачи1Эпика1,описаниеПодзадачи1Эпика1,4
4,EPIC,IN_PROGRESS,имяЭпика1,описаниеЭпика1,st7st8st9,2024.08.09 18:13,69
1,TASK,NEW,имяЗадачи1,описаниеЗадачи1,
11,EPIC,NEW,ТЕСТИМ,ТЕСТИМ,st0
